Prize,Category,Longlist Date,Shortlist/Finalists Date,Winner Date,Eligibility,Link
2016 National Book Awards,Young People's Literature,09/12/16,"Oct 12, 2016","Nov 16, 2016",a book must be written by an American citizen and published by an American publisher between December 1 of the previous year and November 30 of the current year,http://www.nationalbook.org/
2016 National Book Awards,Poetry,09/13/16,"Oct 12, 2016","Nov 16, 2016",,http://www.nationalbook.org/
2016 National Book Awards,Nonfiction,09/14/16,"Oct 12, 2016","Nov 16, 2016",,http://www.nationalbook.org/
2016 National Book Awards,Fiction,09/15/16,"Oct 12, 2016","Nov 16, 2016",,http://www.nationalbook.org/
2016 Man Booker Prize,Fiction,07/27/16,"Sep 13, 2016","Oct 25, 2016","any novel originally written in English and published in the UK in the year of the prize, regardless of the nationality of their author",http://themanbookerprize.com/fiction
2016 National Book Critics Circle Awards,Fiction,,"Jan 1, 2017","Mar 1, 2017",Books published in English (including translations) in the United States with pub dates in calendar year 2016 will be considered,http://bookcritics.org/faqs/category/awards
2016 National Book Critics Circle Awards,Nonfiction,,"Jan 1, 2017","Mar 1, 2017",,http://bookcritics.org/faqs/category/awards
2016 National Book Critics Circle Awards,Biography,,"Jan 1, 2017","Mar 1, 2017",,http://bookcritics.org/faqs/category/awards
2016 National Book Critics Circle Awards,Autobiography,,"Jan 1, 2017","Mar 1, 2017",,http://bookcritics.org/faqs/category/awards
2016 National Book Critics Circle Awards,Poetry,,"Jan 1, 2017","Mar 1, 2017",,http://bookcritics.org/faqs/category/awards
2016 National Book Critics Circle Awards,Criticism,,"Jan 1, 2017","Mar 1, 2017",,http://bookcritics.org/faqs/category/awards
